Ticker,STDev 5
CAT A,0.0
SHB A,0.0005661541349184149
COOR,0.0006998045117384707
KARO,0.0009622312036403971
HPOL B,0.0009960009761794104
8TRA,0.0010238170793797324
NDA SE,0.0011001584804863091
LEO,0.0012551760771929532
EVO,0.001324640583344951
ATCO B,0.0013817755625769386
SINCH,0.0014107587459875033
HLDX,0.0015151287878850722
MYCR,0.0015722408450436734
SWMA,0.0016233066324050365
CCC,0.0017081710538314487
VOLO PREF,0.0018504816320180312
INTRUM,0.0019262613261689114
SAAB B,0.0021625323776896205
BRAV,0.002308908197625617
ERIC A,0.002409650602570284
VOLV A,0.0025416193082878555
SWEC B,0.0025612324531032065
EQT,0.0026710609110611938
GRNG,0.0027277119379145254
CORE PREF,0.0028339985744934076
KNOW,0.0029564262271485515
TIGO SDB,0.003048780487804878
VOLV B,0.0030755386215120073
BMAX,0.0031138371965870886
SWED A,0.003136317732140482
ELUX A,0.0034162737821871346
K2A PREF,0.0034602076124567475
SEB A,0.003484472679971197
CTM,0.0035596487869820432
COLL,0.003563449278400459
FPAR D,0.003574735875139416
SKIS B,0.003578520053533486
HOLM B,0.003636213222100203
HTRO,0.00366075177213023
SYSR,0.0036713445359279674
BETS B,0.0036979001370816495
MSON A,0.0037735123035181357
SCST,0.003889545848590622
ACAD,0.0038968056036369934
BEIA B,0.003932001150810128
CLA B,0.004053670427954615
SHB B,0.00406573271518044
TREL B,0.0040853819509588255
ELAN B,0.004137158499198949
LIAB,0.004174503683517149
EPI A,0.004241680216961207
SEB C,0.004295055536098425
SAND,0.004340296157887569
SKF B,0.004417398158010122
ABB,0.0044646499928895
DOM,0.00467341173555746
BUFAB,0.004730472703803727
RATO B,0.004857791943078298
ESSITY A,0.004915256793796061
NPAPER,0.005070796573745023
AMBEA,0.005080411412171588
CORE B,0.005218425736468021
ALIG,0.005236866390391524
TIETOS,0.005288143313580698
HOFI,0.005362743276324014
PNDX B,0.005366566520206916
ATCO A,0.005367254561490646
LOOMIS,0.005439383602374417
CLAS B,0.005451999667138394
HEXA B,0.0055662629033763605
NEWA B,0.005729368350742631
LIFCO B,0.00574664437016714
RESURS,0.005856049356622205
CAST,0.005928420617639683
ADDT B,0.005970072658263556
VOLO,0.006057516674931413
SVOL B,0.006061942244661273
ERIC B,0.006115208849022443
EPI B,0.0062203993376227645
KIND SDB,0.00624621073250423
LUC,0.006278418464188087
HUM,0.006415002990995841
FPAR A,0.006423439815477923
HUFV A,0.006471050304237584
BERG B,0.006480450422531118
KINV B,0.006481466931227036
DIOS,0.006588239575886916
ATRLJ B,0.006631299602825605
SKA B,0.006692196988688377
IVSO,0.006702303160504663
SAGA D,0.006724593145325879
KINV A,0.006741217112476656
SCA B,0.0069178833676167934
HM B,0.006929438763022071
VNV,0.007092772238630977
SWEC A,0.007205307696471447
HUSQ B,0.0072252871469252545
ALIF B,0.007303589430096768
TRAC B,0.007308231255564883
NCC B,0.0073153552963342115
