Ticker,STDev 5
ELUX A,0.0
MSON A,0.0
HLDX,0.0008760917726328985
KARO,0.0009606301853524825
LEO,0.001256208273734331
VOLO PREF,0.0018445695501265998
SWMA,0.0019509605108536463
SAAB B,0.0028705224862614967
COOR,0.003203093407740542
CAT A,0.003280415565561902
MSON B,0.0033794806009998617
K2A PREF,0.003472222222222222
ELAN B,0.0036867831869024687
BETS B,0.003802495753545793
LUG,0.00383876524083921
KNOW,0.0044094353658324925
SCA B,0.004555021170309572
TIGO SDB,0.004838519443688898
SINCH,0.005258470267018471
HTRO,0.005261215153176562
HOLM B,0.005384677071972845
BRAV,0.005432744419335488
STE R,0.005564761005891574
ELTEL,0.005787972623454899
SCST,0.005858652414150267
STE A,0.005900611707428955
CLA B,0.006045903717366236
STEF B,0.006411428032031092
IRLAB A,0.006535036553076094
HUM,0.006684347202578165
TELIA,0.007352934889858571
TRAC B,0.007401926528072125
EVO,0.008021333099764558
SBB D,0.008211699790216504
CATE,0.008232326493378283
IBT B,0.008406671284284519
ERIC A,0.008413469568531026
CCC,0.008515490193623377
LUC,0.008863782775543191
LOOMIS,0.009069638773050007
CAST,0.009298251882873493
NCC A,0.009312101115961705
KIND SDB,0.009671404837829377
SHOT,0.010055051719556297
PACT,0.01008199348310516
TFBANK,0.010092339514933973
SKIS B,0.010392353258751928
HOLM A,0.0104069258698655
SCA A,0.010528738950016795
MTG A,0.01073023711065017
AMBEA,0.011044274670350282
CAMX,0.011418569213618935
MEKO,0.01151651115780432
HUFV A,0.011583011583011582
FPAR D,0.011676672621656317
CTM,0.011715122308735516
TOBII,0.011965881808337166
NWG,0.011990821995531763
NPAPER,0.01201436448572565
TREL B,0.012048196770391017
NDA SE,0.012266022530341808
CLAS B,0.012432386673996636
THULE,0.012480849304837489
COLL,0.012770256830224074
MTG B,0.012776360793090257
RESURS,0.012901015726378756
TROAX,0.01293553665670318
INDT,0.013188883477984751
ESSITY B,0.013234098942379932
RATO A,0.013397034672705688
SKF B,0.013417642871238202
AXFO,0.013454923515238719
PROB,0.013492671860703704
BONAV B,0.013603337228858781
ACAD,0.013652591150591956
TIETOS,0.013731181809338255
BILL,0.013787992214768327
AZN,0.013796230279578815
BOL,0.013859557537348036
BUFAB,0.013907763765720742
NOBI,0.014084507042253471
CORE PREF,0.014126637676120083
BALD B,0.014324316678714288
SAND,0.014345723190442314
SWED A,0.014683198499528462
NCC B,0.01469849493595223
HUSQ A,0.014846563873555946
PEAB B,0.014854758288870073
MIPS,0.014975097845737846
LIAB,0.014978370321896198
NOLA B,0.015043340977263507
ATORX,0.015066558822210552
VIT B,0.015455735131252705
SHB B,0.015472232032802626
NIBE B,0.015477174849166392
SAS,0.015520337773408227
RROS,0.015562265513814975
SWEC B,0.015619777411006846
SHB A,0.01579844119608989
ESSITY A,0.015814617116984616
INDU A,0.01590996865537784
RATO B,0.015933085596454132
BERG B,0.016036964017874227
WIHL,0.016079521805630465
ATRLJ B,0.016095374079467765
LUND B,0.016165833139956443
BULTEN,0.01629462595065485
VOLV A,0.016308140362546072
SEB C,0.016316116330139976
ELUX B,0.016365104096268318
WALL B,0.016391944773620677
ALIF B,0.016413614767138058
DIOS,0.016463300413131893
CALTX,0.01648596643514942
AQ,0.01654649912084705
BETCO,0.016630718567915457
TEL2 B,0.01670145243664788
INDU C,0.01670781293022189
XANO B,0.016794703161815357
VOLV B,0.016815879980858314
ERIC B,0.016851586129640026
EPI B,0.01689792202904154
BEIA B,0.017494812883349847
VBG B,0.017561985374589376
SECT B,0.01764998341293435
ARION SDB,0.017803752794393744
HM B,0.017845012272060274
IPCO,0.017992589629515835
SKF A,0.018075029512334854
MYCR,0.018145844653236362
NP3,0.01819196764339714
SAGA D,0.01819426635699658
FOI B,0.01829266655516744
COIC,0.01839596445947337
NYF,0.018403440515130435
ATCO B,0.018604238107570153
SAGA B,0.01870098388393579
INVE B,0.018874849210450226
GRNG,0.01899233349163927
PNDX B,0.018999779426569493
EOLU B,0.019009739505035372
CAT B,0.0190459320562186
K2A B,0.019142984492134626
NP3 PREF,0.019155713387217478
DUST,0.019187249442727462
BIOG B,0.019194225076140166
INVE A,0.01923991154339064
ADDT B,0.01934882832641601
AOI,0.019388041926486698
SEB A,0.019428316277161822
LAGR B,0.01944827929479038
EPI A,0.019470864334142822
GETI B,0.019548749209078474
HUSQ B,0.019573851952041588
ATCO A,0.019794114851404584
GARO,0.019876933579752898
FABG,0.019985495107798942
ATT,0.02012195854242227
G5EN,0.02012690900214001
EQT,0.02034717366091762
SECU B,0.020427307117724794
FAG,0.020461100955807474
SBB B,0.020586606018407352
JM,0.020648513101486507
BTS B,0.02074245519775512
CORE B,0.02076489187478641
ALIG,0.021000401713348327
BIOA B,0.021068352383916175
HEXA B,0.02134010192355683
SOBI,0.021395053709592157
ALFA,0.021527429667657184
AZA,0.021585679914941633
SAGA A,0.02160181526543848
ABB,0.021707870285651555
ALIV SDB,0.02175047430085121
RAY B,0.021768449706024488
HPOL B,0.021896372136597935
PLAZ B,0.022047910236696194
IVSO,0.022136872760981353
LIFCO B,0.0223121004570403
IMMNOV,0.022342275941350617
BMAX,0.022693587598577845
ASSA B,0.023003009578783717
BESQ,0.02309401076758503
VITR,0.02320317278980124
8TRA,0.02336674747035483
INWI,0.023587707886008967
MTRS,0.024198152766206682
CEVI,0.02438481381810502
FPAR A,0.02447451662114412
SKA B,0.02457643657175094
HMS,0.024630541871921183
OEM B,0.02468942971830791
KINV B,0.02480500038322277
INSTAL,0.02482582187162284
QLINEA,0.024990903558810187
